store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Firestone Complete Auto Care,11770,18051 SHERMAN WAY,,RESEDA,CA,91335-4630,United States,8183447155,34.201206,-118.526531,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,11622,7100 TOPANGA CANYON BLVD,,CANOGA PARK,CA,91303-1962,United States,8183480727,34.199392,-118.605869,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,15636,17912 VENTURA BLVD,,ENCINO,CA,91316-3617,United States,8183430352,34.163717,-118.522462,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Canyon Country Firestone,653829,27125 Sierra Highway #401,,Santa Clarita,CA,91351,United States,6612500014,34.40817,-118.46195,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Chatsworth Tire Pros,343025,21803 Devonshire St,,Chatsworth,CA,91311-2906,United States,8183418631,34.257236,-118.604134,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Northridge Tire & Service,53945,8765 Reseda Blvd. #A,,Northridge,CA,91324,United States,8183490647,34.229777,-118.536103,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
TIRES BUY MARK,776863,7510 TOPANGA CANYON BLVD,,CANOGA PARK,CA,91303-1213,United States,8189920580,34.20681,-118.60548,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Hank's Tire,761472,19951 Ventura Blvd.,,Woodland Hills,CA,91364-2631,United States,8183404200,34.172344,-118.567735,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
TIRES PLUS TOTAL CAR CARE 8116,244193,13512 S ALDEN ST,,OLATHE,KS,66062-5840,United States,9133932212,38.882746,-94.75645,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,283444,15050 W 135TH ST,,OLATHE,KS,66062-1599,United States,9137821833,38.883718,-94.759907,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
